Date,Xmin,Xpos,Ymin,Ypos,People Density,Car Density,Count,Temperature,Humidity,People_Count2
"January 11, 2020 at 00:10AM",-0.777,-0.777,-0.777,-0.777,0.06,0,4,20.79,77,0.06
"January 11, 2020 at 00:30AM",-0.777,-0.777,-0.777,-0.777,0.06,0,4,20.79,77,0.06
"January 11, 2020 at 00:50AM",-0.777,-0.777,-0.777,-0.777,0.06,0,4,20.79,77,0.06
"January 11, 2020 at 01:10AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 01:30AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 01:50AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 02:10AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 02:30AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 02:50AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 03:10AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 03:30AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 03:50AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 04:10AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 04:30AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 04:50AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 05:10AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 05:30AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 05:50AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 06:10AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 06:30AM",-0.777,-0.777,-0.777,-0.777,0.06,0,3,20.79,77,0.06
"January 11, 2020 at 06:50AM",-0.777,-0.777,-0.777,-0.777,0.06,0,3,20.79,77,0.06
"January 11, 2020 at 07:10AM",-0.777,-0.777,-0.777,-0.777,0.06,0,4,20.79,77,0.06
"January 11, 2020 at 07:30AM",-0.777,-0.777,-0.777,-0.777,0.06,0,4,20.79,77,0.06
"January 11, 2020 at 07:50AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 08:10AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 08:30AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 08:50AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 09:10AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 09:30AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 11, 2020 at 09:50AM",-0.777,-0.777,-0.777,-0.777,0.06,0,2,20.79,77,0.06
"January 14, 2020 at 10:10AM",0.632,0.632,0.632,0.632,0.48,0.48,2,22.41,80,0.48
"January 14, 2020 at 10:30AM",0.632,0.632,0.632,0.632,0.47,0.47,2,22.41,80,0.47
"January 14, 2020 at 10:50AM",0.632,0.632,0.632,0.632,0.47,0.47,2,22.41,80,0.47
"January 14, 2020 at 11:10AM",0.632,0.632,0.632,0.632,0.47,0.47,2,22.41,80,0.47
"January 14, 2020 at 11:30AM",0.632,0.632,0.632,0.632,0.46,0.46,2,22.41,80,0.46
"January 14, 2020 at 11:50AM",0.632,0.632,0.632,0.632,0.46,0.46,2,22.41,80,0.46
"January 14, 2020 at 12:10AM",0.632,0.632,0.632,0.632,0.46,0.45,2,22.41,80,0.46
"January 14, 2020 at 12:30AM",0.632,0.632,0.632,0.632,0.45,0.45,2,22.41,80,0.45
"January 14, 2020 at 12:50AM",0.632,0.632,0.632,0.632,0.45,0.45,2,22.41,80,0.45
"January 14, 2020 at 08:07AM",0.632,0.632,0.632,0.632,0.45,0.45,2,22.41,80,0.45
"January 14, 2020 at 08:07AM",0.632,0.632,0.632,0.632,0.44,0.44,2,22.41,80,0.44
"January 14, 2020 at 08:08AM",0.632,0.632,0.632,0.632,0.44,0.44,2,22.41,80,0.44
"January 14, 2020 at 08:08AM",0.632,0.632,0.632,0.632,0.44,0.44,2,22.41,80,0.44
